2020-03-29 14:28:49.973[main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-03-29 14:28:50.002[main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@49c6c24f, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@6fe1b4fb, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@79351f41, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1c32386d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@6399551e, org.springframework.test.context.transaction.TransactionalTestExecutionListener@13d73fa, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5023bb8b, org.springframework.test.context.event.EventPublishingTestExecutionListener@5d5f10b2, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@74c79fa2, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1e0f9063, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@53bd8fca, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7642df8f, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@3e30646a]
2020-03-29 14:28:50.646[main] INFO  c.m.springbootmybatisxml.mapper.master.UserDaoTest - Starting UserDaoTest on MACHUN1-F1HJR2W with PID 44720 (started by machun1 in D:\学习\Git\SpringBoot\springboot-mybatisxml)
2020-03-29 14:28:50.647[main] INFO  c.m.springbootmybatisxml.mapper.master.UserDaoTest - No active profile set, falling back to default profiles: default
2020-03-29 14:28:52.953[main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-03-29 14:28:53.309[main] INFO  c.m.springbootmybatisxml.mapper.master.UserDaoTest - Started UserDaoTest in 3.223 seconds (JVM running for 4.54)
2020-03-29 14:28:53.824[main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2020-03-29 14:28:54.351[main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2020-03-29 14:28:54.419[main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
2020-03-29 14:28:54.443[main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Start completed.
2020-03-29 14:28:54.587[SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-03-29 14:28:54.590[SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2020-03-29 14:28:54.608[SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2020-03-29 14:28:54.608[SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown initiated...
2020-03-29 14:28:54.618[SpringContextShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Shutdown completed.
